Dist_Code,Year,State_Code,State_Name,Dist_Name,NITROGEN_KHARIF,Nitro_Rabi,PHOSPHATE_KHARIF,PHOSPHATE_RABI,POTASH_KHARIF,POTASH_RABI,TOTAL_KHARIF,TOTAL_RABI
1,2005,14,Chhattisgarh,Durg,43026,9862,15991,7921,8358,2108,67376,19891
1,2006,14,Chhattisgarh,Durg,55815,8163,24078,6697,9620,2772,89513,17633
1,2007,14,Chhattisgarh,Durg,47357,12975,21754,5804,9490,1968,78600,20746
1,2008,14,Chhattisgarh,Durg,42685,9721,26565,7292,14591,3011,83841,20023
1,2009,14,Chhattisgarh,Durg,63105,9749,37491,3708,14304,3787,114900,17244
1,2010,14,Chhattisgarh,Durg,62347,15081,36206,8979,17515,2028,116068,26088
1,2011,14,Chhattisgarh,Durg,53404,19439,31989,13826,12947,4392,98340,37657
1,2012,14,Chhattisgarh,Durg,70900,22825,34861,15613,12797,3417,118558,41855
1,2013,14,Chhattisgarh,Durg,58995,21750,29544,12685,13585,2539,102124,36973
1,2014,14,Chhattisgarh,Durg,71237,21223,39946,14412,12256,3997,123439,39632
1,2015,14,Chhattisgarh,Durg,78704,30395,39954,22456,13614,5809,132272,58661
2,2005,14,Chhattisgarh,Bastar,8898,1763,3031,1796,1500,459,13429,4018
2,2006,14,Chhattisgarh,Bastar,10218,2000,5260,876,2277,243,17755,3119
2,2007,14,Chhattisgarh,Bastar,7240,2470,2595,675,354,361,10189,3506
2,2008,14,Chhattisgarh,Bastar,6193,5385,2652,2799,1508,2071,10353,10255
2,2009,14,Chhattisgarh,Bastar,15401,2039,8170,906,2617,595,26188,3540
2,2010,14,Chhattisgarh,Bastar,13908,2911,7930,1745,4202,1075,26040,5731
2,2011,14,Chhattisgarh,Bastar,12926,3775,7423,2976,2302,1157,22651,7908
2,2012,14,Chhattisgarh,Bastar,12114,4358,5949,2815,2457,1038,20520,8211
2,2013,14,Chhattisgarh,Bastar,9460,3610,5696,1433,2465,444,17621,5487
2,2014,14,Chhattisgarh,Bastar,15773,5651,9476,2261,3512,1094,28761,9006
2,2015,14,Chhattisgarh,Bastar,12483,7215,8814,4601,3432,1709,24729,13525
3,2005,14,Chhattisgarh,Raipur,54164,18715,32994,14161,12828,2602,99986,35478
3,2006,14,Chhattisgarh,Raipur,75246,26161,31890,14767,14339,7442,121475,48370
3,2007,14,Chhattisgarh,Raipur,83979,22681,40871,14255,24309,5965,149159,42901
3,2008,14,Chhattisgarh,Raipur,82347,23660,39667,13889,18433,5048,140447,42597
3,2009,14,Chhattisgarh,Raipur,89750,25495,46765,12522,18332,6218,154847,44235
3,2010,14,Chhattisgarh,Raipur,91183,36522,46577,17516,22048,5569,159808,59607
3,2011,14,Chhattisgarh,Raipur,93518,50408,38652,28216,9949,17392,142119,96016
3,2012,14,Chhattisgarh,Raipur,82322,58611,34389,29393,9641,2684,126352,90688
3,2013,14,Chhattisgarh,Raipur,105498,28018,41949,20741,14665,2053,162112,50812
3,2014,14,Chhattisgarh,Raipur,92205,39015,40583,16392,12075,8041,144863,63448
3,2015,14,Chhattisgarh,Raipur,94031,33176,33428,18541,11026,5396,138485,57113
4,2005,14,Chhattisgarh,Bilaspur,47717,7701,9954,4480,4431,1063,62101,13244
4,2006,14,Chhattisgarh,Bilaspur,50511,9826,14754,3121,5710,974,70975,13920
4,2007,14,Chhattisgarh,Bilaspur,47823,8941,13390,1537,4083,895,65297,11374
4,2008,14,Chhattisgarh,Bilaspur,44361,7638,16939,3116,6245,1184,67545,11939
