Dist Code,Year,State Code,State Name,Dist Name,JAN,FEB,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPT,OCT,NOV,DEC,ANNUAL
1,2005,14,Chhattisgarh,Durg,3.5,6.2,29.3,98.2,326,236.4,353.5,48.2,0,2.6,0,0,1103.9
1,2006,14,Chhattisgarh,Durg,0,0,26.8,18.2,44.8,27.4,251.7,392.6,120.5,4.4,0,0,886.4
1,2007,14,Chhattisgarh,Durg,0,5.8,1.8,0,0,229.6,298.4,328.8,202.1,2,0,0,1068.5
1,2008,14,Chhattisgarh,Durg,0,0,6.8,0,0,240,138.3,287.9,231.8,0,0,0,904.8
1,2009,14,Chhattisgarh,Durg,0,0,0,0,0,21.5,405.2,213,51.8,4.2,0,0,695.7
1,2010,14,Chhattisgarh,Durg,6.2,0,0,0,7.7,146.4,391.3,276.6,279.8,11.1,18.2,12.4,1149.7
1,2011,14,Chhattisgarh,Durg,0,6,0,54.1,27.7,251.5,319.7,350.5,251.1,21.7,0,0,1282.3
1,2012,14,Chhattisgarh,Durg,41.2,0,0,26.4,0,119.1,348.9,342.6,198.7,5,9,1.2,1092.1
1,2013,14,Chhattisgarh,Durg,0.5,13.1,1.9,13.7,1.6,262.3,586.9,328.1,182.8,177.1,0,0,1568
1,2014,14,Chhattisgarh,Durg,0,46.6,27.6,10.4,57.4,96.9,501.6,279.2,255.7,104.3,0,0,1379.7
1,2015,14,Chhattisgarh,Durg,14.6,0,39.6,58.2,7.8,201.8,186.4,250.7,249.3,0.3,0,0,1008.7
2,2005,14,Chhattisgarh,Bastar,21.8,21.6,3.6,25.9,89.2,165.2,261.7,252.9,344.8,229.2,3.2,0,1419.1
2,2006,14,Chhattisgarh,Bastar,0,0,43.7,132,90,127.3,491,422,309.3,1.6,92.9,0,1709.8
2,2007,14,Chhattisgarh,Bastar,0,15.3,0,13.5,68.6,337,195.9,377.4,157.7,93.8,0,0,1259.2
2,2008,14,Chhattisgarh,Bastar,10,18.2,135.5,17.7,40.3,183.9,360.2,380.5,239.5,11.8,0.7,0,1398.3
