Dist Code,Year,State Code,State Name,Dist Name,soil_per
1,Not Applicable,14,Chhattisgarh,Durg,LOAMY ALFISOLS - 60% ; USTALF/USTOLLS - 40%
2,Not Applicable,14,Chhattisgarh,Bastar,LOAMY ALFISOL - 100%
3,Not Applicable,14,Chhattisgarh,Raipur,USTALF/USTOLLS - 50% ; LOAMY ALFISOLS - 25% ; VERTISOLS - 15%
4,Not Applicable,14,Chhattisgarh,Bilaspur,USTALF/USTOLLS - 100%
5,Not Applicable,14,Chhattisgarh,Raigarh,USTALF/USTOLLS - 100%
6,Not Applicable,14,Chhattisgarh,Surguja,USTALF/USTOLLS - 100%
7,Not Applicable,6,Madhya Pradesh,Jabalpur,VERTIC SOILS - 85% ; VERTISOLS - 15%
8,Not Applicable,6,Madhya Pradesh,Balaghat,VERTIC SOILS - 85% ; VERTISOLS - 15%
9,Not Applicable,6,Madhya Pradesh,Chhindwara,VERTIC SOILS - 85% ; VERTISOLS - 15%
10,Not Applicable,6,Madhya Pradesh,Narsinghpur,VERTISOLS - 80% ; VERTIC SOILS - 20%
11,Not Applicable,6,Madhya Pradesh,Seoni / Shivani,VERTIC SOILS - 85% ; VERTISOLS - 15%
12,Not Applicable,6,Madhya Pradesh,Mandla,VERTIC SOILS - 85% ; VERTISOLS - 15%
13,Not Applicable,6,Madhya Pradesh,Sagar,VERTIC SOILS - 50% ; VERTISOLS - 50%
14,Not Applicable,6,Madhya Pradesh,Damoh,VERTIC SOILS - 60% ; VERTISOLS - 40%
15,Not Applicable,6,Madhya Pradesh,Tikamgarh,VERTIC SOILS - 100%
16,Not Applicable,6,Madhya Pradesh,Chhatarpur,VERTIC SOILS - 80% ; INCEPTISOLS - 20%
17,Not Applicable,6,Madhya Pradesh,Panna,VERTIC SOILS - 100%
18,Not Applicable,6,Madhya Pradesh,Rewa,VERTIC SOILS - 60% ; INCEPTISOLS - 25% ; USTALF/USTOLLS - 15%
19,Not Applicable,6,Madhya Pradesh,Sidhi,USTALF/USTOLLS - 75% ; VERTIC SOILS - 25%
20,Not Applicable,6,Madhya Pradesh,Satna,VERTIC SOILS - 100%
21,Not Applicable,6,Madhya Pradesh,Shahdol,VERTIC SOILS - 60% ; USTALF/USTOLLS - 40%
22,Not Applicable,6,Madhya Pradesh,Gwalior,VERTIC SOILS - 100%
23,Not Applicable,6,Madhya Pradesh,Shivpuri,VERTIC SOILS - 100%
24,Not Applicable,6,Madhya Pradesh,Guna,VERTIC SOILS - 100%
25,Not Applicable,6,Madhya Pradesh,Datia,VERTIC SOILS - 100%
26,Not Applicable,6,Madhya Pradesh,Morena,VERTIC SOILS - 100%
27,Not Applicable,6,Madhya Pradesh,Bhind,VERTIC SOILS - 100%
28,Not Applicable,6,Madhya Pradesh,Indore,VERTIC SOILS - 100%
29,Not Applicable,6,Madhya Pradesh,Ratlam,VERTIC SOILS - 100%
30,Not Applicable,6,Madhya Pradesh,Ujjain,VERTIC SOILS - 100%
31,Not Applicable,6,Madhya Pradesh,Mandsaur,VERTIC SOILS - 100%
32,Not Applicable,6,Madhya Pradesh,Dewas,VERTIC SOILS - 100%
33,Not Applicable,6,Madhya Pradesh,Dhar,VERTIC SOILS - 100%
34,Not Applicable,6,Madhya Pradesh,Jhabua,VERTIC SOILS - 100%
35,Not Applicable,6,Madhya Pradesh,Khargone / West Nimar,VERTIC SOILS - 100%
36,Not Applicable,6,Madhya Pradesh,Khandwa / East Nimar,VERTIC SOILS - 100%
37,Not Applicable,6,Madhya Pradesh,Sehore,VERTIC SOILS - 60% ; VERTISOLS - 40%
38,Not Applicable,6,Madhya Pradesh,Raisen,VERTIC SOILS - 80% ; VERTISOLS - 20%
39,Not Applicable,6,Madhya Pradesh,Vidisha,VERTIC SOILS - 60% ; VERTISOLS - 40%
40,Not Applicable,6,Madhya Pradesh,Betul,VERTIC SOILS - 85% ; VERRTISOLS - 15%
41,Not Applicable,6,Madhya Pradesh,Rajgarh,VERTIC SOILS - 100%
42,Not Applicable,6,Madhya Pradesh,Shajapur,VERTIC SOILS - 90% ; VERTISOLS - 10%
43,Not Applicable,6,Madhya Pradesh,Hoshangabad,VERTIC SOILS - 100%
44,Not Applicable,1,Andhra Pradesh,Srikakulam,ORTHIDS - 100%
45,Not Applicable,1,Andhra Pradesh,Visakhapatnam,ORTHIDS - 50% ; SANDY ALFISOL - 50%
